club_id,award_title,number
5174,Italian Lega Pro Champion (A),1
1039,English League Cup winner,1
1039,English 2nd tier champion,2
1039,English 3rd tier champion,1
969,French Champion,1
969,French Cup winner ,2
1072,Football League Trophy Winner,1
1072,English 4th tier champion,2
6195,Italian Champion,3
6195,UEFA Cup Winner,1
6195,Italian Cup winner,6
6195,Italian Super Cup winner,2
6195,Italian Serie B champion,1
23826,German Cup winner ,1
23826,German Regionalliga Northeast Champion,1
23826,Landespokal Sachsen Winner,2
1150,English 3rd tier champion,1
1150,English 4th tier champion,1
355,FA Cup Winner,4
355,English Supercup Winner,1
355,Football League Trophy Winner,1
355,English 2nd tier champion,3
355,English 3rd tier champion,1
352,English League Cup winner,1
352,English 3rd tier champion,1
352,English 4th tier champion,3
1557,German Regionalliga Bavaria Champion,1
13562,Italian Lega Pro Champion (A),1
4795,German 2. Bundesliga Champion,1
1028,English 2nd tier champion,1
1028,English 3rd tier champion,1
1028,English 4th tier champion,1
29,English Champion,9
29,Cup Winners Cup Winner,1
29,FA Cup Winner,5
29,English Supercup Winner,9
29,English 2nd tier champion,1
180,FA Cup Winner,1
180,Football League Trophy Winner,1
180,English 3rd tier champion,1
1084,Spanish 2nd tier champion,4
2921,Italian Serie B champion,2
2921,Italian Lega Pro Champion (C),1
15,UEFA Cup Winner,1
15,German Cup winner ,1
15,German 2. Bundesliga Champion,1
44,German Champion,2
44,German 2. Bundesliga Champion,3
44,League Cup Winner,2
44,Landespokal Berlin Winner,10
23,German Champion,1
23,German 3. Liga Champion,1
23,Landespokal Niedersachsen Winner,2
25,German Regionalliga Northeast Champion,2
25,Landespokal Brandenburg Winner,8
350,English Champion,1
350,FA Cup Winner,4
350,English 2nd tier champion,1
350,English 3rd tier champion,1
350,English 4th tier champion,1
6574,Italian Serie B champion,1
6574,Italian Lega Pro Champion (A),1
10,German 2. Bundesliga Champion,4
10,German 3. Liga Champion,1
10,Landespokal Westfalen Winner,5
10,Western German Cup Winner,2
79,German Champion,5
79,German Cup winner ,3
79,German Super Cup Winner,1
79,German 2. Bundesliga Champion,2
18,German Champion,5
18,UEFA Cup Winner,2
18,German Cup winner ,3
18,German 2. Bundesliga Champion,1
18,Western German Cup Winner,1
8354,Landespokal Südbaden Winner,1
349,FA Cup Winner,1
349,Football League Trophy Winner,1
1078,English 2nd tier champion,2
1078,English 3rd tier champion,1
839,Italian Serie B champion,1
839,Italian Lega Pro Champion (B),3
839,Italian Lega Pro Champion (C),1
839,Italian Lega Pro 2 Champion (B),1
73,German Regionalliga Bavaria Champion,1
416,Italian Champion,7
416,Italian Cup winner,5
416,Italian Serie B champion,3
416,Mitropacup,1
1049,Spanish Champion,6
1049,UEFA Supercup Winner,2
1049,UEFA Cup Winner,1
1049,Cup Winners Cup Winner,1
1049,Spanish Cup winner ,8
4159,Italienischer Pokalsieger (Serie C),1
2497,Spanish 2nd tier champion,5
862,Italian Serie B champion,1
862,Italian Lega Pro Champion (A),1
533,Landespokal Baden Winner,4
3302,Spanish 2nd tier champion,1
1319,Landespokal Brandenburg Winner,1
11,English Champion,13
11,Cup Winners Cup Winner,1
11,FA Cup Winner,14
11,English League Cup winner,2
11,English Supercup Winner,16
24,German Champion,1
24,UEFA Cup Winner,1
24,Europa League Winner,1
24,German Cup winner ,5
24,German 2. Bundesliga Champion,1
366,Spanish 2nd tier champion,3
1112,English 3rd tier champion,1
347,French Cup winner ,2
347,French league cup winner,1
897,Spanish Champion,1
897,Spanish Cup winner ,3
897,Spanish Super Cup winner,3
