club_id,season_id,manager_id,income,expenditure
9624,2015,6091,0.0,0.0
89,2016,12312,4500000.0,3700000.0
2919,2021,16452,420000.0,3450000.0
25114,2021,83019,0.0,0.0
30679,2021,54295,0.0,0.0
8152,2019,27176,0.0,0.0
1160,2021,5771,9030000.0,500000.0
49229,2021,55565,0.0,0.0
18465,2015,16822,0.0,0.0
30245,2020,65452,0.0,0.0
38290,2017,2263,0.0,0.0
4147,2020,12908,0.0,0.0
3456,2018,21222,0.0,0.0
4191,2018,48076,0.0,0.0
1158,2019,24802,14670000.0,5700000.0
2969,2017,14547,15000000.0,5500000.0
7047,2016,37326,0.0,0.0
31367,2017,48482,145000.0,0.0
11245,2019,33150,0.0,0.0
2448,2021,47220,0.0,250000.0
2067,2015,1536,0.0,200000.0
26860,2016,16477,0.0,0.0
6692,2021,61740,80000.0,1000.0
7123,2017,20436,0.0,0.0
56966,2018,44689,0.0,0.0
565,2021,32724,0.0,0.0
41128,2021,64696,0.0,0.0
13484,2020,5418,0.0,0.0
416,2020,25681,27000000.0,46700000.0
416,2017,3896,79800000.0,26380000.0
24,2021,22891,28400000.0,13450000.0
358,2017,13985,450000.0,0.0
1712,2021,1628,0.0,0.0
1219,2015,17508,2990000.0,0.0
2793,2019,1909,0.0,0.0
1082,2017,2553,31100000.0,76500000.0
1408,2017,36774,560000.0,100000.0
4146,2019,26157,0.0,0.0
131,2021,439,70760000.0,69500000.0
800,2017,3436,78040000.0,66590000.0
105,2017,29143,3950000.0,2100000.0
367,2015,55517,0.0,400000.0
1074,2020,17028,0.0,0.0
11177,2018,60103,0.0,0.0
1034,2016,20495,875000.0,10000.0
79,2021,10906,40920000.0,14850000.0
3522,2015,5197,2740000.0,600000.0
399,2017,36659,17500000.0,28430000.0
1049,2019,5095,56300000.0,75000000.0
252,2021,3793,18620000.0,39100000.0
1042,2021,47358,1190000.0,0.0
18633,2021,24334,0.0,0.0
34888,2018,15656,0.0,0.0
24898,2020,35502,20000.0,0.0
8241,2019,8920,0.0,0.0
1262,2015,24466,0.0,0.0
91,2016,2438,0.0,50000.0
1390,2018,3018,7850000.0,22500000.0
148,2017,9044,103800000.0,121000000.0
33,2016,8513,61300000.0,43300000.0
1220,2019,5970,1390000.0,0.0
1071,2021,22877,580000.0,735000.0
12,2017,12924,156500000.0,91300000.0
3456,2016,21833,0.0,0.0
3697,2016,15236,0.0,0.0
10391,2015,26462,0.0,0.0
749,2021,8646,28200000.0,10500000.0
23826,2017,2300,24540000.0,63500000.0
618,2015,5035,23200000.0,20300000.0
33,2018,30857,46150000.0,62200000.0
80,2017,1288,4000000.0,0.0
3520,2017,89365,0.0,0.0
