URL,country_id,saison,winner,top_scorer,foreigners,goals_per_match,league_id
https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/,189,2021,Manchester City,91845,66.7,2.82,1
https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1/,189,2021,Manchester City,148455,66.7,2.82,1
https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2/,189,2021,Fulham FC,51152,45.9,2.51,2
https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1/,50,2015,Paris Saint-Germain,3455,53.8,2.53,3
https://www.transfermarkt.com/league-one/startseite/wettbewerb/GB3/,189,2021,Wigan Athletic,118535,38.8,2.7,4
https://www.transfermarkt.com/ligue-2/startseite/wettbewerb/FR2/,50,2015,AS Nancy-Lorraine,237125,46.9,2.3,5
https://www.transfermarkt.com/league-two/startseite/wettbewerb/GB4/,189,2021,Forest Green Rovers ,333782,30.3,2.46,6
https://www.transfermarkt.com/championnat-national/startseite/wettbewerb/FR3/,50,2015,,411439,30.7,2.36,7
https://www.transfermarkt.com/national-league/startseite/wettbewerb/CNAT/,189,2021,,278501,23.0,2.74,8
https://www.transfermarkt.com/championnat-national/startseite/wettbewerb/FR3/,50,2015,,98264,30.7,2.36,7
https://www.transfermarkt.com/national-league-north/startseite/wettbewerb/NLN6/,189,2021,,526347,18.3,2.64,9
https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1/,157,2016,Real Madrid,28003,44.1,2.94,11
https://www.transfermarkt.com/laliga2/startseite/wettbewerb/ES2/,157,2016,Levante UD,143044,19.2,2.25,12
https://www.transfermarkt.com/laliga2/startseite/wettbewerb/ES2/,157,2016,Levante UD,143044,19.2,2.25,12
https://www.transfermarkt.com/laliga2/startseite/wettbewerb/ES2/,157,2016,Levante UD,143044,19.2,2.25,12
https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1/,157,2015,FC Barcelona,44352,41.9,2.74,11
https://www.transfermarkt.com/laliga2/startseite/wettbewerb/ES2/,157,2015,Deportivo Alavés,145769,17.6,2.26,12
https://www.transfermarkt.com/laliga2/startseite/wettbewerb/ES2/,157,2015,Deportivo Alavés,145769,17.6,2.26,12
https://www.transfermarkt.com/laliga2/startseite/wettbewerb/ES2/,157,2015,Deportivo Alavés,145769,17.6,2.26,12
https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1/,157,2018,FC Barcelona,28003,41.8,2.59,11
https://www.transfermarkt.com/laliga2/startseite/wettbewerb/ES2/,157,2018,CA Osasuna,57935,23.5,2.18,12
https://www.transfermarkt.com/laliga2/startseite/wettbewerb/ES2/,157,2018,CA Osasuna,57935,23.5,2.18,12
https://www.transfermarkt.com/laliga2/startseite/wettbewerb/ES2/,157,2018,CA Osasuna,57935,23.5,2.18,12
https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1/,157,2017,FC Barcelona,28003,43.0,2.69,11
https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1/,50,2018,Paris Saint-Germain,342229,55.0,2.56,3
https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1/,157,2019,Real Madrid,28003,41.7,2.48,11
https://www.transfermarkt.com/laliga2/startseite/wettbewerb/ES2/,157,2017,Rayo Vallecano,227961,22.1,2.31,12
https://www.transfermarkt.com/laliga2/startseite/wettbewerb/ES2/,157,2017,Rayo Vallecano,227961,22.1,2.31,12
https://www.transfermarkt.com/laliga2/startseite/wettbewerb/ES2/,157,2017,Rayo Vallecano,227961,22.1,2.31,12
