id,name
6091,Mario Tanzer
12312,Jens Keller
16452,Giovanni Stroppa
83019,Loïc Lambert
54295,Roman Sedlak
27176,Franck Haise
5771,Pascal Plancque
55565,Norbert Welzel
16822,Franz-Aaron Ullrich
65452,Baptiste Ridira
2263,Fulvio Pea
12908,Francesco Buglio
21222,Steve Watson
48076,Fabian Hürzeler
24802,Christophe Pélissier
14547,Olivier Dall'Oglio
37326,Jay Saunders
48482,Jon McCarthy
33150,Manolo Cano
47220,David Gallego
1536,Thierry Froger
16477,Marco Gaburro
61740,Marco Marchionni
20436,Alan Devonshire
44689,Fabio Fossati
32724,Jochen Seitz
64696,Sylvain Didot
5418,Antonio Soda
25681,Moreno Longo
3896,Siniša Mihajlović
22891,Oliver Glasner
13985,Karl Robinson
1628,Esad Kahric
17508,Dean Saunders
1909,Kevin Bond
2553,Marcelo Bielsa
36774,Arnaldo Franzini
26157,Ivan Javorcic
439,Ronald Koeman
3436,Gian Piero Gasperini
29143,Torsten Frings
55517,Ramón Colón
17028,Micky Mellon
60103,Joey Barton
20495,Paul Hurst
10906,Pellegrino Matarazzo
5197,Nenad Bjelica
36659,Thomas Christiansen
5095,Marcelino
3793,Davide Ballardini
47358,David Artell
24334,Hervé Della Maggiore
15656,Graham Alexander
35502,Aimo Diana
8920,Stéphane Crucet
24466,Alfonso García
2438,Horst Steffen
3018,Rolando Maran
9044,Mauricio Pochettino
8513,Markus Weinzierl
5970,Steven Pressley
22877,Leam Richardson
12924,Eusebio Di Francesco
21833,Neil Aspin
15236,Jim Bentley
26462,Richard Hill
8646,Aurelio Andreazzoli
2300,Ralph Hasenhüttl
5035,Christophe Galtier
30857,Domenico Tedesco
1288,Gertjan Verbeek
89365,Jean-Luc Muzet
6765,Luis Milla
447,Steve Bruce
42445,Alberto Ruvo
1694,Tim Flowers
14011,Jocelyn Gourvennec
10819,Jorge Sampaoli
5415,Leonardo Acori
53749,Enzo Maresca
10976,Eddie Howe
39147,Loui Fazakerley
11410,Roger Prinzen
4152,Nigel Adkins
43614,Vincenzo Manzo
5627,Slavisa Jokanovic
52276,Michael Flynn
1013,Gino Lettieri
777,Michael Wittwer
35475,Julián Calero
95234,Steve Cunningham
6405,Phillip Cocu
40709,Marc Lerandy
53852,Secretário
5965,Urs Fischer
50470,Paul Warne
23954,Graham Potter
5034,Alain Casanova
19552,Rubén Baraja
15103,Álvaro Cervera
1985,Stefan Ruthenbeck
47679,Holger Ludwig
64121,Ben Strevens
17284,Marco Antwerpen
38870,Daniel Bierofka
28936,Stefan Leitl
15452,Daniel Thioune
781,José Mourinho
30352,Tim Walter
54194,Michael Jolley
33152,Luis Miguel Carrión
3257,Marco Giampaolo
5769,Olivier Pantaloni
9081,Barry Smith
8369,Paulo Sousa
60994,Lilian Compan
6386,Pablo Machín
21829,Darrell Clarke
1224,Antoine Kombouaré
9002,Thomas Frank
4158,John Sheridan
11795,Vincenzo Montella
26453,Simon Weaver
1366,Brendan Rodgers
43132,Henrik Pohlenz
7517,Piero Braglia
24478,Pascal Moulin
12015,Marco Baroni
55919,Dominik Reinhardt
24083,Olivier Guégan
8037,Gareth Ainsworth
16192,Marco Konrad
30525,Patrice Eyraud
15622,Nathan Jones
47288,Vincenzo Italiano
10939,Daniel Farke
24100,Ghislain Printant
15289,Chris Wilder
4078,Gustavo Poyet
17510,Liam Watson
72079,Hayden Mullins
23495,Gary Whild
19601,Vicente Moreno
102524,Darius Charles
16587,Denis Zanko
6809,Abelardo
12913,Giuseppe Sannino
15315,Dean Smith
4127,Steve Evans
16535,Fernando Vázquez
6088,Frank Kramer
12766,Petr Ruman
27403,Rui Almeida
5236,Torsten Lieberknecht
15856,Sean Dyche
4744,Stefan Krämer
6804,Gerd Klaus
19635,Fabio Pecchia
22491,Enrico Röver
6526,Juan Anquela
48969,Gabriele Sabatini
31049,Laurent Bonadéi
5672,Pep Guardiola
39743,Gary Caldwell
20869,Mark Warburton
36126,Alessio Dionisi
1537,Rudi Garcia
20485,Slobodan Komljenovic
20161,Timo Schultz
10975,Steve Davis
2135,Stefano Pioli
19460,Stéphane Moulin
5075,Unai Emery
34773,Thomas Kleine
2127,Stefano Colantuono
20958,Matt Gray
3540,Phil Parkinson
16377,Massimo Rastelli
484,Frank Rohde
4125,Martin Allen
523,Carlo Ancelotti
66977,Danny Searle
26705,Aldo Monza
37278,Danny Cowley
24432,Natxo González
53955,Marco Didu
48975,Fabio Nobili
12121,Roberto Venturato
14892,Davide Nicola
61003,Julien Stéphan
20498,Paul Cox
3506,Christoph Starke
33665,Garry Monk
2763,Leonid Slutski
25149,Filippo Inzaghi
41387,Mark Bower
5753,David Guion
54421,José Alberto López
63785,Costanzo Celestini
5897,John Still
16013,Florian Kohfeldt
7282,Paco Herrera
35229,Cristian Brocchi
55849,Giovanni Livieri
32718,Neil Harris
1766,Uwe Rösler
118,Jürgen Klopp
25228,Cristian Bucchi
25158,Manolo Díaz
37832,Markus Mattes
4315,Keith Curle
42007,Max Canzi
39045,Guerino Capretti
26517,Bernd Eigner
24197,Marco Rose
60193,Marcel Yahyaijan
22079,Eduardo Berizzo
20940,Sebastian Hoeneß
35782,Roberto D'Aversa
34994,Cesare Albè
36989,Florian Heller
25768,Obrad Marjanovic
30752,Francisco Rufete
4002,Michel Der Zakarian
1588,Carlos Carvalhal
4140,Simon Grayson
10073,Maurizio Sarri
7879,Paul Tisdale
24419,Zlatan Bajramovic
7234,Fabien Mercadal
8661,Paul Cook
24207,Sabri Lamouchi
33333,Imanol Alguacil
58155,Jean-Luc Courtet
20954,Marco Simone
10050,Vincenzo Vivarini
24620,Olivier Frapolli
70649,Oli
612,Andy Hessenthaler
46780,Fabrizio Daidola
42773,Kevin Nicholson
2662,José Luis Mendilibar
29105,Kristjan Glibo
20921,Maik Schütt
7616,Aitor Karanka
616,Ronnie Moore
57263,André Blanc
4688,Uwe Koschinat
16092,Giuseppe Scienza
36192,Alexandro Dossena
56601,Torsten Thiel
10781,Gaizka Garitano
12440,Quique Setién
6499,Luis Enrique
15663,Neal Ardley
1522,Rafael Benítez
8402,Julian Nagelsmann
15355,Tony Humes
7471,Thomas Tuchel
62360,Marcel Busch
158,Norbert Meier
2562,Fran Escribá
44154,Luke Garrard
31636,Michael Köllner
535,Lucien Favre
306,Dieter Hecking
33241,Sergio
16508,Ivan Juric
