person_id,title,count
420465,French champion,1.0
420465,French Super Cup winner,1.0
420465,Torneio Internacional Algarve U17,1.0
468183,Sudbaden Cup winner,1.0
526477,Luxembourgish champion,1.0
585949,Italian champion,1.0
369162,German Regionalliga Bavaria Champion,1.0
435170,Brazilian cup winner,1.0
555723,Football League Trophy Winner,1.0
369162,German Regionalliga Southwest Champion,1.0
127202,French league cup winner,1.0
127202,Belgian champion,1.0
453865,German Regionalliga Southwest Champion,1.0
319176,Czech cup winner,1.0
315131,Europa League winner,1.0
225105,Berlin Cup winner,1.0
127202,Belgian Super Cup Winner,2.0
95372,English 3rd tier champion,1.0
315131,English FA Cup winner,1.0
225105,Brandenburg Cup winner,1.0
127202,English 2nd tier champion,1.0
322305,European Under-17 champion,1.0
315131,English League Cup winner,1.0
127202,All titles & victories,
315131,U21 Premier League champion,1.0
93778,German Under-19 cup winner,1.0
93778,Sudbaden Cup winner,2.0
315131,All titles & victories,
366834,English 4th tier champion,1.0
126222,English 3rd tier champion,1.0
51168,German Under-19 Bundesliga champion,1.0
24721,Hungarian league cup winner,1.0
24721,Dutch U19 Champion,1.0
191444,Westphalia Cup winner,1.0
24721,English 4th tier champion,1.0
691529,Italian Youth champion (Primavera),1.0
130351,Coppa Italia Primavera winner,1.0
186988,Top goal scorer,1.0
186988,Westphalia Cup winner,2.0
190634,Hungarian champion,1.0
263843,European Under-19 champion,1.0
186988,Brandenburg Cup winner,1.0
365449,Italian Youth champion (Primavera),2.0
365449,Coppa Italia Primavera winner,1.0
184573,Footballer of the Year,1.0
398274,Italian Youth champion (Primavera),1.0
165454,Italienischer Drittligameister,1.0
365449,Italian Supercoppa winner (Primavera),1.0
184573,English League Cup winner,1.0
37787,Turkish cup winner,1.0
184573,Portuguese champion,3.0
588954,Top goal scorer,1.0
184573,Portuguese cup winner,2.0
184573,Portuguese league cup winner,1.0
216422,German Under-19 Bundesliga champion,1.0
184573,All titles & victories,
451306,English 3rd tier champion,1.0
163652,Italienischer Zweitligameister,1.0
19958,Under-20 World Cup champion,1.0
216422,German third tier champion,1.0
292822,Swiss cup winner,1.0
425798,Irish cup winner,1.0
291314,Italian Youth champion (Primavera),1.0
216422,German Regionalliga Southwest Champion,1.0
291314,Italian Supercoppa winner (Primavera),1.0
565822,FIFA Club World Cup winner,1.0
231590,Saxony-Anhalt Cup winner,1.0
273236,Spanish cup winner,1.0
565822,English Champion,1.0
179838,Coppa Italia Primavera winner,1.0
434223,Top goal scorer,2.0
192266,German Under-19 Bundesliga champion,1.0
68902,French champion,1.0
93922,World Cup winner,1.0
282939,Football League Trophy Winner,1.0
434223,English 2nd tier champion,1.0
179838,Italian Supercoppa winner (Primavera),2.0
565822,Uefa Supercup winner,1.0
93922,Europa League winner,1.0
558362,English 4th tier champion,1.0
192266,Berlin Cup winner,1.0
273236,Ukrainian Super Cup winner,1.0
93922,German cup winner,1.0
565822,English FA Cup winner,1.0
357884,Spanish 2nd tier champion,1.0
93922,German Super Cup winner,2.0
240349,Italian Super Cup winner,1.0
295630,Greek champion,1.0
240349,Italian Youth champion (Primavera),1.0
295630,Greek cup winner,2.0
565822,English League Cup winner,1.0
93922,All titles & victories,
85758,German Regionalliga Southwest Champion,1.0
295630,English 2nd tier champion,1.0
177476,English Champion,5.0
565822,All titles & victories,
31685,German third tier champion,1.0
119230,Austrian Central Regionalliga champion,1.0
4292,English 2nd tier champion,1.0
31685,Thuringia Cup winner,2.0
177476,Europa League winner,1.0
59016,Footballer of the Year,8.0
51178,German second tier champion,1.0
448628,Spanish 2nd tier champion,1.0
31685,Baden Cup winner,2.0
95680,French cup winner,1.0
51178,German Under-19 Bundesliga champion,1.0
67331,Football League Trophy Winner,1.0
51178,German third tier champion,1.0
177476,English League Cup winner,2.0
59016,Champions League winner,3.0
62643,Scottish Challenge Cup winner,1.0
51178,Westphalia Cup winner,1.0
177476,Dutch U17 Champion,1.0
154578,Belgian champion,1.0
84763,Italienischer Drittligameister,1.0
84763,Italian cup winner (Serie C),1.0
51178,Baden Cup winner,1.0
154578,Belgian Super Cup Winner,1.0
59016,FIFA Club World Cup winner,3.0
62643,Scottish Second League Champion,1.0
282250,Norwegian champion,2.0
177476,European Under-17 champion,2.0
16726,Swiss champion,3.0
154578,German second tier champion,1.0
51178,All titles & victories,
59016,German Champion,10.0
177476,All titles & victories,
282250,Norwegian cup winner,1.0
16726,Swiss cup winner,1.0
59016,Spanish champion,1.0
16726,Austrian champion,1.0
59016,All titles & victories,
85475,Italian cup winner,2.0
282250,Norwegian Super Cup Winner,1.0
74641,Turkish champion,2.0
16726,German second tier champion,1.0
8184,Spanish champion,1.0
56803,Italienischer Drittligameister,1.0
16726,German Under-19 Bundesliga champion,1.0
56803,Italian Youth champion (Primavera),1.0
8184,Belgian champion,1.0
85475,Copa Libertadores winner,1.0
85475,Argentinian champion,1.0
16726,All titles & victories,
8184,Spanish 2nd tier champion,1.0
84545,Italian cup winner,1.0
74641,Turkish cup winner,1.0
73929,Supercoppa Serie C winner,2.0
261502,Mexican Champion Apertura,1.0
85475,Qatari champion,1.0
56803,Italian Supercoppa winner (Primavera),1.0
63463,Spanish cup winner,1.0
85475,All titles & victories,
261502,Coppa Italia Primavera winner,1.0
319213,Italienischer Drittligameister,1.0
52119,English Champion,1.0
394879,Italienischer Drittligameister,1.0
52119,Dutch Cup winner,1.0
84545,Italian Super Cup winner,2.0
19477,Czech champion,1.0
319213,Romanian 2nd Division Champion,1.0
14066,English League Cup winner,1.0
73929,Italian cup winner (Serie C),1.0
421767,Italian Youth champion (Primavera),1.0
261502,Italian Supercoppa winner (Under 17),1.0
52119,English 2nd tier champion,1.0
15961,Danish champion,1.0
19477,German Regionalliga Northeast Champion,2.0
19477,Saxony Cup winner,3.0
49032,German third tier champion,1.0
14066,English 2nd tier champion,2.0
15961,Danish Cup Winner,1.0
421767,Italian Supercoppa winner (Primavera),1.0
49032,Wurttemberg Cup winner,3.0
19477,Schleswig-Holstein Cup winner,1.0
49032,Saxony-Anhalt Cup winner,2.0
339982,Italienischer Zweitligameister,1.0
19477,Austrian Second League Champion,1.0
339982,Coppa Italia Primavera winner,1.0
291417,Champions League winner,1.0
355375,Greek second tier champion,1.0
19477,All titles & victories,
18533,German third tier champion,1.0
291417,Spanish champion,2.0
18533,Berlin Cup winner,1.0
291417,Uefa Supercup winner,1.0
291417,Winner UEFA Nations League,1.0
65467,Europa League winner,4.0
147419,Football League Trophy Winner,1.0
291417,All titles & victories,
358753,Ghanasian Champion,1.0
99227,Italian Super Cup winner,1.0
33484,English 2nd tier champion,2.0
33484,English 3rd tier champion,1.0
32526,English 3rd tier champion,1.0
99227,Italienischer Zweitligameister,1.0
18021,European Under-21 champion,1.0
55615,German Regionalliga Northeast Champion,2.0
55615,Brandenburg Cup winner,1.0
21981,Supercoppa Serie C winner,2.0
21981,Italienischer Drittligameister,2.0
109110,Supercoppa Serie C winner,1.0
348623,U21 Premier League champion,2.0
109110,Italienischer Drittligameister,1.0
21981,Italienischer Drittligameister,1.0
21981,Italian cup winner (Serie C),1.0
364133,Italian champion,1.0
96098,German Under-19 Bundesliga champion,1.0
96098,German Regionalliga Southwest Champion,1.0
21981,All titles & victories,
96098,German Regionalliga Bavaria Champion,1.0
96098,Middle Rhine Cup winner,1.0
96098,All titles & victories,
242631,English FA Cup winner,1.0
227111,German Under-17 Bundesliga champion,1.0
149577,Russian cup winner,1.0
242631,English Super Cup winner,2.0
149577,Brazilian champion,1.0
149577,Brazilian cup winner,1.0
331638,Dutch second tier champion,1.0
129679,Africa Cup winner,1.0
149577,Copa Libertadores winner,1.0
129679,Spanish 2nd tier champion,1.0
149577,All titles & victories,
362746,Top goal scorer,2.0
114060,Top goal scorer,1.0
536811,Italian Youth champion (Primavera),1.0
362746,German Under-19 Bundesliga champion,1.0
536811,Italian Supercoppa winner (Primavera),1.0
240934,Italienischer Zweitligameister,1.0
433818,Player of the Year,1.0
433818,English 2nd tier champion,1.0
34870,Spanish champion,1.0
433818,English 4th tier champion,1.0
34870,European Under-19 champion,1.0
73185,English FA Cup winner,1.0
75458,Danish champion,2.0
7451,English FA Cup winner,2.0
222209,Italian cup winner,2.0
7451,English Super Cup winner,2.0
222209,Italian Super Cup winner,2.0
336869,FIFA Club World Cup winner,1.0
718201,Spanish 2nd tier champion,1.0
75458,Danish Cup Winner,2.0
222209,Italian Youth champion (Primavera),1.0
7451,Scottish champion,1.0
336869,German Champion,2.0
75458,Swedish champion,2.0
80351,Footballer of the Year,1.0
167874,Italienischer Zweitligameister,1.0
75458,Swedish Super Cup winner,1.0
7451,Scottish cup winner,1.0
222209,Coppa Italia Primavera winner,1.0
80351,Slovenian champion,1.0
353365,French cup winner,1.0
80351,Slovenian cup winner,1.0
336869,German Super Cup winner,1.0
222209,All titles & victories,
167874,Italienischer Drittligameister,1.0
7451,Scottish league cup winner,1.0
290698,Slovenian champion,1.0
7451,All titles & victories,
217757,Player of the Year,3.0
75458,All titles & victories,
397735,Scudetto Serie D,1.0
30767,Italian Super Cup winner,1.0
336869,European Under-21 champion,1.0
217757,Irish champion,2.0
290698,Slovenian cup winner,1.0
30767,Italienischer Drittligameister,1.0
217757,Irish cup winner,1.0
290698,Italienischer Zweitligameister,1.0
336869,Spanish 2nd tier champion,1.0
30767,Under-20 World Cup champion,1.0
336869,All titles & victories,
535810,Scudetto Serie D,1.0
30767,Recopa Sudamericana winner,1.0
30767,All titles & victories,
121477,Player of the Year,1.0
10250,German Regionalliga Northeast Champion,1.0
340446,Italian Youth champion (Primavera),1.0
10250,Saxony Cup winner,1.0
340446,Coppa Italia Primavera winner,1.0
163072,Italienischer Drittligameister,1.0
340446,Italian Supercoppa winner (Primavera),1.0
123562,Lower Saxony Cup winner,1.0
132098,Top goal scorer,6.0
340446,Italian Youth champion (U17),1.0
187624,Austrian cup winner,1.0
132098,Player of the Year,4.0
340446,Italian Supercoppa winner (Under 17),1.0
132098,All titles & victories,
187624,Saxony-Anhalt Cup winner,1.0
241641,Footballer of the Year,1.0
340446,All titles & victories,
397245,Scudetto Serie D,1.0
241641,English Champion,5.0
197126,Spanish Super Cup winner,1.0
241641,French champion,1.0
336644,German Regionalliga Southwest Champion,1.0
187147,Danish champion,1.0
241641,Winner UEFA Nations League,1.0
128902,English 3rd tier champion,1.0
12563,Footballer of the Year,5.0
237632,English 2nd tier champion,1.0
187147,Danish Cup Winner,1.0
241641,English FA Cup winner,1.0
92111,Top goal scorer,1.0
178217,Italian champion,1.0
143120,German Regionalliga Northeast Champion,1.0
12563,Top goal scorer,2.0
241641,All titles & victories,
92111,Vorarlberg league champion,1.0
103674,Bulgarian champion,2.0
178217,Coppa Italia Primavera winner,1.0
12563,Champions League winner,1.0
143120,Westphalia Cup winner,1.0
103674,Italian Supercoppa winner (Primavera),1.0
5303,French champion,1.0
12563,FIFA Club World Cup winner,1.0
178217,Italian Supercoppa winner (Primavera),2.0
143120,Brandenburg Cup winner,1.0
383223,German second tier champion,1.0
12563,Italian champion,1.0
146258,German cup winner,1.0
178217,Viareggio,1.0
5303,French league cup winner,1.0
103674,Bulgarian Super Cup winner,1.0
146258,Dutch champion,2.0
383223,Baden Cup winner,1.0
12563,All titles & victories,
178217,All titles & victories,
830243,Italian cup winner (Serie C),1.0
146258,Dutch Cup winner,1.0
146258,Dutch Super Cup winner,3.0
49453,English 4th tier champion,1.0
282180,German Regionalliga Northeast Champion,1.0
146258,European Under-17 champion,1.0
146258,All titles & victories,
39240,Westphalia Cup winner,1.0
39240,Hamburg Cup winner,1.0
191202,Top goal scorer,1.0
308632,Under-20 World Cup champion,1.0
308632,U21 Premier League champion,1.0
201186,Saxony Cup winner,1.0
56376,German third tier champion,2.0
4241,English Champion,2.0
96718,Spanish Super Cup winner,2.0
346314,FIFA Club World Cup winner,1.0
4241,English FA Cup winner,1.0
534151,Italienischer Drittligameister,1.0
56376,Westphalia Cup winner,2.0
346314,Uefa Supercup winner,1.0
37157,French cup winner,1.0
4241,English League Cup winner,1.0
179634,German second tier champion,1.0
346314,UEFA Youth League Winner,1.0
56376,Baden Cup winner,1.0
295659,Italian Youth champion (Primavera),1.0
346314,European Under-19 champion,1.0
346314,English Youth League winner (U18),1.0
386442,Coppa Italia Primavera winner,1.0
346314,All titles & victories,
93854,German third tier champion,1.0
495601,European Under-19 champion,1.0
315844,Italian Youth champion (Primavera),1.0
93854,Saxony Cup winner,1.0
233100,English 4th tier champion,1.0
298613,Spanish 2nd tier champion,1.0
495601,European Under-17 champion,1.0
93854,Saxony-Anhalt Cup winner,2.0
315844,Coppa Italia Primavera winner,1.0
315844,Italian Supercoppa winner (Primavera),1.0
340152,Italienischer Drittligameister,1.0
350219,Italian cup winner,1.0
315844,Italian Youth champion (U17),1.0
44735,Spanish 2nd tier champion,2.0
315844,All titles & victories,
73009,Spanish 2nd tier champion,1.0
350219,European Under-21 champion,1.0
350219,Spanish 2nd tier champion,1.0
165722,Italienischer Zweitligameister,1.0
688639,Berlin Cup winner,1.0
883461,Schleswig-Holstein Cup winner,1.0
165722,Campione Serie C2 (B),1.0
500087,U21 Premier League champion,1.0
67089,Europa League winner,1.0
67089,Spanish cup winner,1.0
395676,Canadian Cup Winner,2.0
255450,Russian champion,1.0
255450,Russian cup winner,3.0
255450,Russian Super Cup winner,1.0
255450,Russian U19 Champion,1.0
255450,All titles & victories,
235931,Italienischer Zweitligameister,1.0
6986,Top goal scorer,1.0
6986,French cup winner,1.0
110852,Belgian cup winner,1.0
386567,Italian champion,2.0
553905,German second tier champion,1.0
110852,Polish champion,1.0
52093,German Champion,1.0
386567,Italian cup winner,1.0
236928,English 3rd tier champion,1.0
110852,Polish Super Cup winner,1.0
52093,German cup winner,1.0
19194,German Regionalliga West Champion,1.0
386567,Italienischer Zweitligameister,1.0
346483,Champions League winner,1.0
386567,Italian cup winner (Serie C),1.0
52093,German Super Cup winner,1.0
346483,FIFA Club World Cup winner,1.0
293709,English 4th tier champion,1.0
386567,All titles & victories,
52093,Schleswig-Holstein Cup winner,1.0
19194,Thuringia Cup winner,1.0
52093,All titles & victories,
251305,German Under-17 Bundesliga champion,2.0
346483,Uefa Supercup winner,1.0
19194,Middle Rhine Cup winner,2.0
324351,Greek champion,1.0
27807,Italian champion,1.0
446625,German third tier champion,1.0
346483,UEFA Youth League Winner,1.0
67542,Greek champion,1.0
446625,German Regionalliga Bavaria Champion,2.0
346483,European Under-19 champion,1.0
10375,Football League Trophy Winner,1.0
346483,All titles & victories,
57423,Romanian champion,2.0
10375,English 2nd tier champion,1.0
202831,Viareggio,1.0
332392,Westphalia Cup winner,1.0
57423,Romanian cup winner,2.0
202831,U21 Premier League champion,1.0
395251,French champion,2.0
57423,Romanian Super Cup winner,1.0
10375,English 3rd tier champion,1.0
69633,Footballer of the Year,3.0
256008,Italian Youth champion (Primavera),1.0
395251,French cup winner,1.0
534698,English 2nd tier champion,1.0
395251,French league cup winner,1.0
69633,Italian champion,1.0
395251,French Super Cup winner,1.0
488755,Hessen Cup winner,1.0
255547,Romanian 2nd Division Champion,1.0
241074,Italian Youth champion (Primavera),1.0
668265,English Champion,1.0
282689,South Korean champion,1.0
69633,English League Cup winner,1.0
395251,All titles & victories,
668265,U21 Premier League champion,1.0
282689,South Korean Cup Winner,1.0
165513,Swiss cup winner,2.0
69633,Dutch champion,3.0
118567,Football League Trophy Winner,1.0
69633,Dutch Cup winner,1.0
118567,English 2nd tier champion,3.0
36359,Italian cup winner,1.0
276051,Georgian champion,1.0
39799,Croatian cup winner,1.0
4796,Saudi Crown Prince Cup Winner,1.0
69633,All titles & victories,
236734,Europa League winner,1.0
236734,Argentinian champion,1.0
198148,Welsh Champion,2.0
175773,Indian Super Cup Winner,1.0
90368,Belgian cup winner,1.0
282722,Spanish champion,1.0
85372,Israeli champion,2.0
85372,Israeli cup winner,1.0
282722,Spanish cup winner,1.0
355104,Italienischer Drittligameister,1.0
282722,UEFA Youth League Winner,1.0
82442,FIFA Puskás Award,1.0
25488,Italian cup winner,1.0
296787,AFC Champions League winner,1.0
48898,Finnish champion,2.0
124909,Supercoppa Serie C winner,1.0
82442,Top goal scorer,3.0
296787,Japanese cup winner,1.0
158816,English 2nd tier champion,1.0
48898,Finnish cup winner,1.0
458605,Gibraltar Champion,1.0
131731,Turkish Super Cup winner,1.0
504904,English 3rd tier champion,1.0
111873,World Cup winner,1.0
296787,Japanese league cup winner,1.0
260008,German third tier champion,1.0
131731,Bulgarian Super Cup winner,1.0
124909,Italienischer Drittligameister,1.0
183301,Football League Trophy Winner,1.0
296787,Japanese Super Cup winner,1.0
303116,European champion,1.0
320870,Slovenian cup winner,1.0
260008,German Regionalliga Southwest Champion,1.0
331498,Top goal scorer,1.0
73517,Norwegian champion,1.0
286496,English 4th tier champion,1.0
111873,Copa América winner,1.0
296787,All titles & victories,
183301,English 4th tier champion,1.0
111873,English FA Cup winner,2.0
331498,Spanish 2nd tier champion,1.0
392714,Berlin Cup winner,2.0
